Playlist,Channel Number,Total Channels in Playlist,Channel Status,Group Name,Channel Name,Channel ID,Codec,Bit Rate (kbps),Resolution,Frame Rate,Audio,Error Reason
all_channels.m3u,4,737,Geoblocked,Cooking,Telecafe (Russia) (720p),Telecafe.m3u8,Unknown,Unknown,Unknown,,Unknown,
all_channels.m3u,2,737,Dead,Classic;Movies,Smotrim 100% Klassika (720p),playlist_3.m3u8,Unknown,Unknown,Unknown,,Unknown,HTTP 404
all_channels.m3u,5,737,Alive,Culture,ART (Russia) (576p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,6,737,Alive,Culture,ATR (1080p),index.m3u8,H264,N/A,1080p,25,194 kbps AAC,
all_channels.m3u,7,737,Dead,Culture,Russia-K +2 (1080p),index.m3u8,Unknown,Unknown,Unknown,,Unknown,DNS resolution failed
all_channels.m3u,1,737,Dead,Classic,Nostalgia (Russia) (576p),video.m3u8,Unknown,Unknown,Unknown,,Unknown,HTTP 522
all_channels.m3u,8,737,Dead,Culture,Russia-K +4 (1080p),index.m3u8,Unknown,Unknown,Unknown,,Unknown,DNS resolution failed
all_channels.m3u,12,737,Dead,Documentary,National Geographic (Russia) (1080p),index.m3u8,Unknown,Unknown,Unknown,,Unknown,HTTP 404
all_channels.m3u,11,737,Alive,Documentary,DocuBox Russia (1080p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,3,737,Alive,Comedy;Movies,Viasat Kino Comedy,playlist.m3u8?source=aHR0cDovLzE3Ni4xMjIuMTAzLjI0MTo3MDAwL2NoNDQvdHJhY2tzLXYxYTEvbW9uby5tM3U4P2xpdmU9MSZpcD0xNzguMTM2LjQyLjIyMCZpZD05NDg4NjUmc2VjcmV0PW4xdTd1aTA2JnNzbD0xJjIxeW89MCZlPTE3OTA1OTk4Mzcmc3Q9UzRPS1VZemNocmREQWhnSTJkTDJ5QQ%3D%3D&master=249,H264,N/A,1080p,25,194 kbps AAC,
all_channels.m3u,10,737,Alive,Culture;News,Ost West 24 (1080p),index.m3u8,H264,N/A,1080p,25,201 kbps AAC,
all_channels.m3u,9,737,Dead,Culture,Russia-K +7 (1080p),index.m3u8,Unknown,Unknown,Unknown,,Unknown,DNS resolution failed
all_channels.m3u,16,737,Dead,Documentary,Smotrim 100% Fakty (720p),playlist_3.m3u8,Unknown,Unknown,Unknown,,Unknown,HTTP 404
all_channels.m3u,18,737,Alive,Entertainment,Channel 8 (Russia) (576p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,13,737,Dead,Documentary,National Geographic Wild (Russia) (1080p),video.m3u8,Unknown,Unknown,Unknown,,Unknown,HTTP 522
all_channels.m3u,17,737,Alive,Documentary;News,TV8 (Moldova) [Not 24/7],index.m3u8,H264,N/A,SD,25,258 kbps AAC,
all_channels.m3u,15,737,Alive,Documentary,RT Documentary Russian (1080p),playlist.m3u8,H264,N/A,1080p,25,131 kbps AAC,
all_channels.m3u,21,737,Alive,Entertainment,FX (Russia) (1080p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,20,737,Alive,Entertainment,Fox (Russia) (576p),index.m3u8,H264,N/A,1080p,25,132 kbps AAC,
all_channels.m3u,19,737,Alive,Entertainment,ETV+ (720p),etvpluss.m3u8,H264,N/A,720p,25,4 kbps AAC,
all_channels.m3u,22,737,Alive,Entertainment,Novyi Channel (1080p),index.m3u8,H264,N/A,1080p,25,198 kbps AAC,
all_channels.m3u,26,737,Dead,Entertainment,Smotrim 100% Prazdnik (720p),playlist_3.m3u8,Unknown,Unknown,Unknown,,Unknown,HTTP 404
all_channels.m3u,27,737,Geoblocked,Family,STS Love (576i),Fashion_TV.m3u8,Unknown,Unknown,Unknown,,Unknown,
all_channels.m3u,23,737,Alive,Entertainment,Quiz TV (1080p),index.m3u8,H264,N/A,1080p,25,196 kbps AAC,
all_channels.m3u,24,737,Alive,Entertainment,RAZ 1 (1080p),index.m3u8,H264,N/A,1080p,25,153 kbps AAC,
all_channels.m3u,25,737,Alive,Entertainment,RAZ 2 (1080p),index.m3u8,H264,N/A,1080p,25,133 kbps AAC,
all_channels.m3u,29,737,Alive,Fresh,Fresh Adventure,index.m3u8,H264,N/A,1080p,24,Unknown,
all_channels.m3u,14,737,Dead,Documentary,Nauka (Russia) (1080p),index.m3u8,Unknown,Unknown,Unknown,,Unknown,Connection timed out
all_channels.m3u,28,737,Alive,Fresh,BCU СССР HD,index.m3u8,H264,N/A,1080p,25,164 kbps AAC,
all_channels.m3u,30,737,Alive,Fresh,Fresh Cinema,index.m3u8,H264,N/A,1080p,24,196 kbps AAC,
all_channels.m3u,31,737,Alive,Fresh,Fresh Comedy,index.m3u8,H264,N/A,1080p,24,195 kbps AAC,
all_channels.m3u,34,737,Alive,Fresh,Fresh Horror,index.m3u8,H264,N/A,1080p,24,Unknown,
all_channels.m3u,32,737,Alive,Fresh,Fresh Family,index.m3u8,H264,N/A,1080p,24,193 kbps AAC,
all_channels.m3u,33,737,Alive,Fresh,Fresh Fantastic,index.m3u8,H264,N/A,1080p,24,194 kbps AAC,
all_channels.m3u,36,737,Alive,Fresh,Fresh Rating,index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,38,737,Alive,Fresh,Fresh Series,index.m3u8,H264,N/A,1080p,24,Unknown,
all_channels.m3u,35,737,Alive,Fresh,Fresh Premiere,index.m3u8,H264,N/A,1080p,24,195 kbps AAC,
all_channels.m3u,37,737,Alive,Fresh,Fresh Romantic,index.m3u8,H264,N/A,1080p,25,195 kbps AAC,
all_channels.m3u,40,737,Alive,Fresh,Fresh VHS,index.m3u8,H264,N/A,1080p,24,196 kbps AAC,
all_channels.m3u,39,737,Alive,Fresh,Fresh Thriller,index.m3u8,H264,N/A,1080p,24,195 kbps AAC,
all_channels.m3u,42,737,Alive,General,Apsua TV,playlist.m3u8?blstid=null,H264,N/A,1080p,25,133 kbps AAC,
all_channels.m3u,41,737,Alive,General,Abaza TV (1080p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,46,737,Alive,General,Channel 5 (Russia) (576p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,48,737,Alive,General,Channel 8 Novosibirsk (480i),playlist.m3u8,H264,N/A,SD,30,63 kbps AAC,
all_channels.m3u,45,737,Alive,General,Belgorod 24 (1080p),stream.m3u8,H264,N/A,720p,100,Unknown,
all_channels.m3u,44,737,Alive,General,Belarus-4 Vitebsk (1080p),playlist.m3u8,H264,N/A,720p,25,133 kbps AAC,
all_channels.m3u,43,737,Alive,General,Belarus-1 (1080p),playlist.m3u8,H264,N/A,1080p,25,96 kbps AAC,
all_channels.m3u,47,737,Alive,General,Channel 8 Krasnoyarsk HD (1080p),mono.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,49,737,Alive,General,Channel One CIS (576p),mono.m3u8?token=onlinetv,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,50,737,Alive,General,Channel One Eurasia (576p),mono.m3u8?token=onlinetv,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,52,737,Alive,General,Kentron TV (1080p),index.m3u8,H264,N/A,1080p,25,194 kbps AAC,
all_channels.m3u,54,737,Alive,General,Law TV (1080p),index.m3u8,H264,N/A,1080p,25,205 kbps AAC,
all_channels.m3u,51,737,Alive,General,Jibek Joly HD (1080p),playlist.m3u8,H264,N/A,1080p,25,131 kbps AAC,
all_channels.m3u,55,737,Alive,General,Moldova 1 (1080p),master.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,53,737,Dead,General,Kongress TV (1080p),index.m3u8,Unknown,Unknown,Unknown,,Unknown,HTTP 503
all_channels.m3u,56,737,Alive,General,Moldova 2 (1080p),master.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,57,737,Alive,General,Naxcivan TV (720p),video.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,58,737,Alive,General,NTV (Russia) +1 (576p),playlist.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,59,737,Alive,General,NTV (Russia) +2 (576p),playlist.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,62,737,Alive,General,REN TV HD (1080p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,60,737,Alive,General,NTV (Russia) +4 (576p),playlist.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,61,737,Alive,General,NTV (Russia) +7 (576p),playlist.m3u8,Unknown,N/A,Unknown,,Unknown,
all_channels.m3u,66,737,Alive,General,RTVi US (1080p),playlist.m3u8,H264,N/A,1080p,30,128 kbps AAC,
all_channels.m3u,63,737,Alive,General,REN TV International (576p),index.m3u8,Unknown,N/A,Unknown,,Unknown,
